Name,Miles
"Seattle, WA",0
"Ellensburg, WA",110
"Moses Lake, WA",180
"Spokane, WA",280
"Coeur d'Alene, ID",310
"Missoula, MT",480
"Butte, MT",600
"Bozeman, MT",680
"Billings, MT",820
"Rapid City, SD",1135
"Wall Drug, SD",1190
"Sioux Falls, SD",1480
"Madison, WI",1900
"Chicago, IL",2050
"Toledo, OH",2300
"Cleveland, OH",2400
"Buffalo, NY",2600
"Albany, NY",2900
"Boston, MA",3050
"Portland, ME",3160
"Bangor, ME",3290
"Houlton, ME",3400
"Bangor, ME",3520
"Portland, ME",3650
"Boston, MA",3750
"Providence, RI",3810
"New Haven, CT",3900
"New York, NY",3980
"Philadelphia, PA",4090
"Baltimore, MD",4190
"Washington, DC",4230
"Richmond, VA",4340
"Raleigh, NC",4510
"Savannah, GA",4835
"Jacksonville, FL",4960
"Miami, FL",5310
"Orlando, Fl",5550
"Gainesville, FL",5650
"Tallahassee, FL",5800
"Mobile, AL",6045
"New Orleans, LA",6190
"Houston, TX",6510
"San Antonio, TX",6705
"El Paso, TX",7250
"Tucson, AZ",7570
"Phoenix, AZ",7680
"Palm Springs, CA",7945
"Los Angeles, CA",8052
"Santa Barbara, CA",8147
"San Luis Obispo, CA",8242
"Big Sur, CA",8349
"Santa Cruz, CA",8419
"Pacifica, CA",8489
"Marshall, CA",8549
"Gallaway, CA",8629
"Rockport, CA",8704
"Eureka, CA",8814
"Crescent City, CA",8899
"Coos Bay, OR",9034
"Lincoln City, OR",9159
"Astoria, OR",9269
"Aberdeen, WA",9349
"Olympia, WA",9399
"Tacoma, WA",9429
"Seattle, WA",9479
